id,name,artist_credit,platform,type,first_release_date_year
97859,"Roots Revolution: The Louisiana Hayride Recordings",1539,Live,Album,2002
98830,Chicago,959278,Soundtrack,Album,1997
99645,"Michael Flatleyâ€™s Lord of the Dance",16258,Soundtrack,Album,1996
100117,"Thank You for Being a Friend: The Best of Andrew Gold",38260,Compilation,Album,1997
100224,"E.C. Was Here",938,Live,Album,1975
100890,"Land of Make Believe",9746,Live,Album,1973
100926,Buy-Product,1,Compilation,Album,1995
104140,"Surfinâ€™ Safari / Surfinâ€™ USA",1135,Compilation,Album,1990
104954,"Bill & Tedâ€™s Bogus Journey: Music From the Motion Picture",1,Soundtrack,Album,1991
105503,"Back to Back: Their Greatest Hits",1282014,Compilation,Album,1996
108837,"70â€™s Greatest Rock Hits, Volume 1: Hard â€™nâ€™ Heavy",1,Compilation,Album,1991
109080,"The History of Space Age Pop, Vol. 1: Melodies and Mischief",1,Compilation,Album,1995
109087,"The History of Space Age Pop, Vol. 2: Mallets in Wonderland",1,Compilation,Album,1995
109370,"The Very Best of Cream",1435,Compilation,Album,1995
112608,"God of Wonders",53081,Live,Album,2002
113388,"Walt Disneyâ€™s Fantasia",1047854,Soundtrack,Album,1957
113894,"Blast From Your Past",48504,Compilation,Album,1975
115636,"Twilo, Volume 1",20467,Compilation,Album,2000
115636,"Twilo, Volume 1",20467,DJ-mix,Album,2000
119201,Opel,2557,Compilation,Album,1988
123975,"Our Little Corner of the World: Music From Gilmore Girls",1,Soundtrack,Album,2002
124027,"Party at the Palace",1,Live,Album,2002
125363,"Greatest Hits",1152861,Compilation,Album,2002
126437,"Greatest Hits",38752,Compilation,Album,1993
126580,"The Toughest",12127,Compilation,Album,1988
127515,"Surf Legends (and Rumors) â€¢ Rockinâ€™ Instrumentals 1961â€“64",1,Compilation,Album,1988
127542,"Live Cream, Volume 2",1435,Live,Album,1972
127544,"The Birds & The B-Sides",3134,Compilation,Album,1996
127561,"By Requestâ€¦ The Best of John Williams and the Boston Pops",2020320,Compilation,Album,1987
127934,"The Transformers: The Movie (Original Motion Picture Soundtrack)",1,Soundtrack,Album,1986
132115,"Casino Royale",24162,Soundtrack,Album,1967
