id,release,format,artist_credit,release_group,language
4271,4271,CD,2591,350426,English
4273,4273,CD,127482,175225,English
4284,4284,CD,1348,181169,English
4341,4341,CD,418,36372,English
4342,4342,CD,418,36372,English
4343,4343,CD,418,36372,English
4349,4349,CD,418,42707,English
4350,4350,CD,418,42492,English
4416,4416,CD,20049,149926,English
4418,4418,"Copy Control CD",61699,135039,English
4439,4440,CD,1874,167634,German
4440,4440,CD,1874,167634,German
4447,4448,CD,3415,74519,English
4448,4448,CD,3415,74519,English
4456,4456,CD,368,17730,English
4458,4458,"Enhanced CD",368,17730,English
4459,4459,CD,368,194979,English
4462,4462,CD,1623468,832455,English
4463,4463,CD,1623468,832455,English
4553,4553,CD,10302,23034,English
4607,4607,CD,366,55918,English
4608,4608,CD,366,789915,English
4635,4635,CD,2102,11334,English
4636,4635,CD,2102,11334,English
4639,4639,CD,2102,11083,English
4640,4640,CD,2102,54003,English
4641,4640,CD,2102,54003,English
4680,4680,CD,2102,54008,English
4683,4683,CD,2102,323070,English
4687,4687,CD,2102,11298,English
4818,4818,"Enhanced CD",9606,604094,English
4832,4832,"12" Vinyl",938,79439,English
4836,4836,CD,938,661515,English
4841,4841,"12" Vinyl",938,75386,English
4843,4843,CD,938,3923,English
4847,4847,CD,938,56333,English
4850,4850,CD,938,21265,English
4860,4860,CD,938,79103,English
4877,4877,CD,938,22184,English
4879,4879,CD,938,100224,English
4881,4881,CD,938,64101,English
4882,4882,CD,938,182719,English
4886,4882,CD,938,182719,English
4888,4882,CD,938,182719,English
4890,4882,CD,938,182719,English
4899,4899,CD,938,23166,English
4900,4900,CD,938,23166,English
4901,4901,CD,938,40708,English
5050,5050,CD,190,47628,English
5052,5052,CD,190,1436,English
5104,5104,CD,1647,731009,English
5105,5105,CD,242,724120,English
5113,5113,CD,1341478,942637,English
5114,5114,CD,347,248035,English
5115,5115,CD,347,572510,English
5384,5384,CD,1299384,33341,English
5385,5385,CD,1299384,33341,English
5402,5402,CD,2102,11224,English
5504,5504,"Enhanced CD",11330,331825,English
5522,5522,CD,863324,100779,English
5535,5535,CD,863324,18362,English
5570,5570,CD,2449,63298,"[Multiple languages]"
5644,5644,"12" Vinyl",817,633626,English
5652,5652,CD,817,34325,English
5664,5664,"12" Vinyl",817,99630,English
5742,5742,CD,1,35112,English
5766,5766,"Copy Control CD",7639,236897,English
5794,5794,CD,60900,202813,Dutch
5814,5814,CD,347,19215,English
5815,5815,CD,347,19215,English
5817,5817,CD,347,19215,English
5955,5956,CD,2101,47847,English
5956,5956,CD,2101,47847,English
6001,6001,CD,2210,69056,English
6107,6107,CD,1773,101291,English
6134,6134,CD,349,24758,English
6172,6172,CD,999,260756,English
6182,6182,CD,10790,86291,English
6198,6198,CD,6081,206450,English
6227,6227,CD,10790,37261,English
6277,6277,CD,1000,972800,English
6291,6291,CD,2145,30249,English
6315,6315,CD,830742,207860,English
6316,6316,"8cm CD",830742,207861,Japanese
6317,6317,CD,830742,207863,Japanese
6318,6318,"8cm CD",830742,207865,Japanese
6409,6409,CD,65,6040,English
6418,6418,"Enhanced CD",31856,138286,English
6480,6480,CD,237415,208993,French
6488,6488,CD,1763,623925,English
6575,6575,CD,15950,42813,English
6609,6609,"Enhanced CD",10204,212176,German
6659,6659,"Enhanced CD",37430,208610,English
6660,6660,CD,37430,78915,English
6672,6672,CD,387,562820,English
6799,6799,CD,347,19124,English
6800,6800,CD,347,368614,English
6801,6800,CD,347,368614,English
6802,6802,CD,347,22627,English
6803,6803,CD,347,490145,English
6804,6804,CD,347,490145,English
6805,6805,CD,347,707627,English
6806,6806,CD,347,707628,English
6807,6807,CD,347,351242,English
6808,6808,CD,347,187221,English
6809,6809,CD,347,28676,English
6810,6810,CD,347,84765,English
6811,6811,CD,347,56803,English
6812,6812,CD,2546,339752,English
6830,6830,CD,347,368614,English
6831,6830,CD,347,368614,English
6872,6872,CD,32506,46812,English
6888,6888,CD,40846,131661,English
6896,6896,CD,1153225,330528,English
6924,6924,CD,4,576,English
6925,6925,CD,885873,19373,English
6934,6934,CD,347,664000,English
6935,6935,CD,347,664000,English
6940,6940,CD,1,80250,English
6961,6961,CD,10298,19773,English
7024,7024,CD,952,125999,English
7027,7027,CD,952,37794,English
7151,7151,"12" Vinyl",813,81660,English
7159,7159,CD,813,19814,English
7164,7164,CD,813,351563,English
7174,55642,CD,1488075,751962,English
7312,7312,CD,153,37254,English
7390,7390,"12" Vinyl",191,5560,English
7488,7488,CD,197,28502,English
7494,7494,CD,347,664000,English
7502,7502,CD,347,19124,English
7505,7505,CD,347,28676,English
7506,7506,CD,2210,69056,English
7507,7507,CD,1,32032,English
7508,7508,CD,1,17211,English
7512,7512,CD,2925,31824,English
7518,7518,CD,54,116747,English
7521,7521,CD,347,56803,English
7522,7522,CD,347,56803,English
7524,7524,CD,1,35112,English
7525,7525,CD,347,707628,English
7526,7526,CD,347,641955,English
7527,7527,CD,347,818970,English
7560,7560,CD,1000,972800,English
7628,7628,CD,22656,89385,English
7634,7634,CD,164,150390,English
7639,7639,CD,853744,46421,English
7646,7646,CD,1224,157610,English
7655,7655,CD,89,122631,English
7662,7662,"12" Vinyl",191,19403,English
7663,7663,CD,12413,59373,English
7693,7693,CD,1883,110496,English
7696,7696,CD,502,31051,English
7705,7705,CD,349,24758,English
7718,7718,CD,489,24411,English
7760,7760,CD,1089,48581,English
7764,7764,CD,1091,33891,English
7785,7785,CD,92,53130,English
7790,7790,CD,88,692562,English
7794,7794,CD,1951,78701,English
7804,7804,CD,242,724141,English
7806,7806,"12" Vinyl",2259,53326,English
7808,7808,Vinyl,782,3383,English
7824,7824,CD,181,136361,English
7832,7832,"12" Vinyl",22351,130208,English
7842,7842,CD,506,16944,English
7843,7843,CD,158,5501,English
7863,7863,CD,40,729783,English
7896,7896,CD,37,5431,English
7897,7897,"12" Vinyl",11935,28540,English
7903,7903,CD,846,150538,English
7908,7908,CD,2278,22179,English
7965,7965,CD,11330,21999,English
7977,7977,"Enhanced CD",6052,145644,English
7985,7985,CD,400,208734,English
8013,8013,CD,47218,828177,English
8020,8020,CD,1037,41362,English
8028,8028,CD,22905,52203,English
8039,8039,CD,21868,35828,English
8041,8041,CD,1638,40406,English
8047,8047,"Enhanced CD",446,72862,English
8061,8061,"Enhanced CD",187,28609,English
8062,8062,"12" Vinyl",191,15310,English
8066,8066,"Enhanced CD",11330,331825,English
8075,8075,"12" Vinyl",1323,82439,English
8088,8088,CD,34,604974,German
8118,8118,CD,41161,152580,English
8120,8120,"Enhanced CD",176,316617,English
8124,8124,CD,326,77556,English
8127,8127,CD,1010,125396,English
8128,8128,CD,2925,53610,English
