artist_id,genre,count
168541,dance-pop,1
168541,"pop soul",1
168541,"contemporary r&b",1
175345,"hip hop",2
176938,soul,2
190870,"hip hop",1
194404,"hip hop",2
197392,soul,1
202037,"hip hop",1
203152,"hip hop",3
207671,pop,1
207671,"hip hop",1
207671,soul,1
207671,"pop rap",1
207671,"pop soul",1
207671,"contemporary r&b",1
210622,"hip hop",1
218982,"hip hop",1
222672,"hip hop",1
228106,"hip hop",1
238998,rock,1
240486,pop,3
240486,dance,1
240486,electropop,1
240486,dance-pop,0
240486,"pop rap",0
240486,"electro house",1
240486,r&b,1
240486,"contemporary r&b",1
244357,"hip hop",2
258741,soul,1
262731,pop,6
262731,dance,1
262731,"hip hop",2
262731,reggae,1
262731,electropop,1
262731,dance-pop,2
262731,dancehall,2
262731,"electro house",1
262731,"pop soul",1
262731,r&b,5
262731,"contemporary r&b",3
269029,"hip hop",2
269029,"gangsta rap",1
294212,pop,2
294212,"hip hop",2
294212,electropop,1
294212,"pop rap",1
294212,"contemporary r&b",1
304981,dance,0
304981,"hip hop",1
304981,electropop,1
304981,dance-pop,1
304981,"pop rap",1
304981,"electro house",1
304981,"contemporary r&b",1
309381,rock,1
309381,pop,1
309381,soul,1
309383,"hip hop",1
309399,"hip hop",2
309399,"pop rap",1
309399,"conscious hip hop",1
315753,rock,0
315753,pop,5
315753,house,-1
315753,electropop,0
315753,dance-pop,0
315753,"pop rock",-1
315753,trap,-1
318723,"hip hop",3
318723,"gangsta rap",1
318723,"boom bap",1
331573,soul,1
353667,"hip hop",4
353667,"gangsta rap",2
353667,"pop rap",1
353670,"hip hop",1
353670,"gangsta rap",1
353670,"pop rap",1
353670,"contemporary r&b",1
353670,"conscious hip hop",0
357688,pop,4
357688,ska,1
357688,electropop,3
357688,dance-pop,2
357688,"contemporary r&b",1
422058,pop,4
422058,"hard rock",0
422058,funk,0
422058,country,0
422058,soul,1
422058,electropop,0
422058,dance-pop,0
422058,"pop rap",1
422058,r&b,1
422058,"contemporary r&b",3
450754,"hip hop",1
450754,"pop rap",2
461247,pop,2
461247,electro,1
461247,electropop,1
461247,"pop rap",1
461247,r&b,0
461247,"contemporary r&b",1
470713,electronic,1
470713,folk,2
470713,"indie folk",1
470713,"contemporary folk",1
477887,r&b,1
477887,"contemporary r&b",2
489870,"indie pop",1
492512,"hip hop",2
541578,"hip hop",3
541578,"alternative hip hop",1
596635,electronic,2
596635,pop,2
596635,"new wave",1
596635,"hip hop",1
600808,"hip hop",5
600808,"pop rap",2
600808,"contemporary r&b",0
624088,electronic,1
624088,pop,1
624088,"hip hop",2
624088,r&b,1
650607,"hip hop",1
685363,"hip hop",1
685363,"rap rock",1
685363,r&b,1
762201,pop,1
762201,"hip hop",3
762201,"pop rap",1
762201,"west coast hip hop",1
762201,"boom bap",0
762201,"jazz rap",1
762201,"conscious hip hop",1
767971,"hip hop",1
767971,"west coast hip hop",1
796562,"contemporary r&b",2
796889,r&b,2
843338,"hip hop",1
905024,"hip hop",2
922061,electronic,1
922061,dance,1
988860,pop,1
988860,"uk garage",1
988860,indietronica,1
1022186,soul,1
1022186,r&b,1
1327733,"hip hop",1
1327733,"pop rap",1
1327733,"east coast hip hop",2
23772,"hip hop",2
104779,classical,1
275392,classical,1
435883,classical,1
211,"hip hop",2
211,soul,1
499,"neo soul",1
499,r&b,1
31507,"hip hop",2
31507,"boom bap",1
31507,"east coast hip hop",1
56073,"hip hop",1
107610,electronic,1
107610,jazz,1
107610,experimental,1
107610,"trip hop",2
463597,"hip hop",2
463597,"pop rap",1
949304,classical,1
236,rock,1
236,pop,5
236,"glam rock",0
236,"pop rock",1
243,comedy,2
255,electronic,5
