name,artist_credit
Trilogy,3515
"Symphony X",9777
Insomniac,510
"Jaco Pastorius",14645
OxygÃ¨ne,3283
"Under a Blood Red Sky",197
"The Planets",1535011
"Achtung Baby",197
"The Wall",191
Gaudi,11935
"COWBOY BEBOP",214525
"Mechanical Animals",187
"Razorblade Suitcase",22
Fixed,347
"Carmina Burana",1949840
"I Can't Complain",15023
Music,89
"Everybody's Reaching Out for Someone",15683
"Wither Blister Burn + Peel",1013
Herzeleid,34
Smile,980
"Visual Audio Sensory Theater",2145
"Straight Outta Compton",21830
"'Scottish' and 'Italian' Symphonies",1254709
"Installation sonore",15855
"Roberto Alagna",1141956
"The Piano",15618
"Dressed to Kill",1234915
Either/Or,47
"25 Romantic Classics",1
"Let Love Rule",366
"Astroâ€Creep: 2000: Songs of Love, Destruction and Other Synthetic Delusions of the Electric Head",2501
"Figure 8",47
Asia,2778
Ultra,317
"Good Humor",2429
Revenge,1234915
"Before These Crowded Streets",502
"My Love Is Your Love",979
"The Best of Arlo Guthrie",9756
"Now I Got Worry",484989
"Werk 80",16359
Blue,1218
Very,768
"MTV Unplugged",2925
"Lost Highway",1
"Sailor Moon: Songs From the Hit TV Series",1
Abraxas,169160
"The Best of Tchaikovsky, Volume 2",122653
"Greatest Hits, Volume 1",2055933
"Highway to Hell",1352
"Losing My Religion",10302
"Strange Brew: The Very Best of Cream",1435
Meditation,1228808
"Built to Last",1528
Experience,44954
"2000 Years of Human Error",906603
"Murder Ballads",1299384
"En concert / Houstonâ€Lyon",3283
"Collective Soul",1091
"American Beauty",1528
"Return of Saturn",464
"Rachmaninov: Piano Concerto No. 2 / Tchaikovsky: Piano Concerto No. 1",1139020
Astra,2778
"Kickinâ€™ It Up",14198
"The Killing Fields: Original Film Soundtrack",817
Red,2259
"Kiss Me Kiss Me Kiss Me",926
"Grace Under Pressure",918
"The Crow",1
"Aurora Gory Alice",12150
I-Feel-Like-I'm-Fixin'-To-Die,21683
"Pictures at an Exhibition",3515
Astray,7031
"Mamma Mia!",2174675
"Some Gave All",1606
"Music for the Masses",317
Loveless,21868
"Outlandos dâ€™Amour",822
"So Tonight That I Might See",1126
"Requiem for My Friend",4774
"Symphony no. 6 "PathÃ©tique"",1683826
Mlah,3194
"Seasons in the Abyss",4742
Nebraska,813
"To the Faithful Departed",158
"Give Out But Donâ€™t Give Up",418
"Marquee Moon",22062
"Still Got the Blues",10284
THRAK,2259
Zweilicht,16523
"Romantic Piano Favourites, Volume 1",22099
"Obscured by Clouds",191
"The Nylon Curtain",138
